LAT,LON,TIME,WIND,PR,STAT
16.90,-108.80,09/04/12Z,25,1006,TROPICAL DEPRESSION
17.50,-110.10,09/04/18Z,25,1006,TROPICAL DEPRESSION
17.80,-111.50,09/05/00Z,30,1006,TROPICAL DEPRESSION
17.90,-112.90,09/05/06Z,35,1005,TROPICAL STORM
17.80,-114.30,09/05/12Z,40,1005,TROPICAL STORM
17.70,-115.70,09/05/18Z,40,1003,TROPICAL STORM
17.70,-117.10,09/06/00Z,45,1000,TROPICAL STORM
18.20,-118.50,09/06/06Z,50,997,TROPICAL STORM
18.80,-119.90,09/06/12Z,50,997,TROPICAL STORM
19.60,-121.50,09/06/18Z,50,997,TROPICAL STORM
20.50,-122.90,09/07/00Z,55,994,TROPICAL STORM
21.30,-124.50,09/07/06Z,50,997,TROPICAL STORM
22.10,-126.00,09/07/12Z,45,1000,TROPICAL STORM
22.60,-127.70,09/07/18Z,45,1000,TROPICAL STORM
22.90,-129.80,09/08/00Z,40,1002,TROPICAL STORM
22.60,-132.20,09/08/06Z,35,1004,TROPICAL STORM
21.60,-134.30,09/08/12Z,30,1010,TROPICAL DEPRESSION
